Name,Code,ICAO
Aircraft Management Group,,RVJ
Aireon Canada,,AEN
Airest,,AEG
AirExplore,ED,AXE
Airfast Indonesia,FS,AFE
AirGO Private Airline,,XGO
airHaifa,E2,HFA
Airhub Airlines,RE,GJM
AirJet,,MBC
Airkenya Express,P2,XAK
Airlec Air Espace,,ARL
Airlift,,ALI
Airlift International,,AIR
Airlink,,JAR
Airlink,4Z,LNK
AirMaster,MR,RMX
Airmax,,MMX
AirNet,,USC
Airnorth,TL,ANO
AIRPAC Airlines,,APC
AirQuest Aviation,,RQT
AirSERBIA,JU,ASL
AirSF Flight Services,,XSN
Airshare,,XSR
AirSial,PF,SIF
AirSmart,,XSM
AirSprint,,ASP
AirStar Charter,,OLV
Airstream,,AQS
AirSWIFT,T6,ATX
AirTanker,9L,TOW
Airtask,,DCT
AirTraffic,,ATY
Airvan Kenya,,AKV
Airwaze,,WZE
Airwork,,AWK
AirX,,AXY
AIS Airlines,,PNX
Aitheras Aviation Group,,PXG
AIX Connect,I5,IAD
AJet,VF,TKJ
Akasa Air,QP,AKJ
Al-Atheer Aviation,,ATE
Aladdin Jet,,ADJ
Alaman Air,,TTR
Alante Air Charter,,SVL
Alaska Airlines,AS,ASA
Alaska Central Express,KO,AER
AlbaStar,,LAV
Albatros Airlines,G0,GAL
Albinati Aeronautics,,LUC
Albinati Aviation,,ULC
Alexandria Airlines,DQ,KHH
Alexjets San Marino,,AXJ
Alfa Airlines,5E,AAJ
Alidaunia,D4,LID
AlisCargo Airlines,CP,LSI
Aliserio,,TJD
ALK Airlines,,VBB
Alkan Air,,ALN
Alkan Air,,AKN
Alkebulan Airlines,,AKU
All Nippon Airways,NH,ANA
Allegiant Air,G4,AAY
Alliance Air,9I,LLR
Alliance Airlines,QQ,UTY
Alliance Executive Jets,,ALE
Allied Air,4W,AJK
AlMasria Universal Airlines,UJ,LMU
Aloha Air Cargo,KH,AAH
AlpAvia,AL,APP
Alpha Aviation,,AAO
Alpha Three Aviation,,APW
Alphaland Aviation,0A,BIC
AlphaSky,AS,JAG
Alpi Jets,,ALX
Alpine Air Express,5A,AIP
